"Country Name","Country Code","Year","Value"
"Sint Maarten (Dutch part)","SXM","1998","31240"
"Sint Maarten (Dutch part)","SXM","1999","31084"
"Sint Maarten (Dutch part)","SXM","2000","30519"
"Sint Maarten (Dutch part)","SXM","2001","31189"
"Sint Maarten (Dutch part)","SXM","2002","32566"
"Sint Maarten (Dutch part)","SXM","2003","33790"
"Sint Maarten (Dutch part)","SXM","2004","35316"
"Sint Maarten (Dutch part)","SXM","2005","36934"
"Sint Maarten (Dutch part)","SXM","2006","38270"
"Sint Maarten (Dutch part)","SXM","2007","39462"
"Sint Maarten (Dutch part)","SXM","2008","40458"
"Sint Maarten (Dutch part)","SXM","2009","39133"
"Sint Maarten (Dutch part)","SXM","2010","35474"
"Sint Maarten (Dutch part)","SXM","2011","33435"
"Sint Maarten (Dutch part)","SXM","2012","34640"
"Sint Maarten (Dutch part)","SXM","2013","36607"
"Sint Maarten (Dutch part)","SXM","2014","37685"
"Sint Maarten (Dutch part)","SXM","2015","38824"
"Sint Maarten (Dutch part)","SXM","2016","40005"
